Year,Tm,Home_win_pct,Home_Games,Home_Wins,Away_win_pct,Away_Games,Away_Wins,Difference,Absolute Difference
2017,OAK,0.567901235,81,46,0.358024691,81,29,0.209876543,0.209876543
1969,NYY,0.6,80,48,0.390243902,82,32,0.209756098,0.209756098
1927,WSH,0.64556962,79,51,0.435897436,78,34,0.209672184,0.209672184
1887,LOU,0.652173913,69,45,0.442857143,70,31,0.20931677,0.20931677
2001,FLA,0.575,80,46,0.365853659,82,30,0.209146341,0.209146341
1991,STL,0.619047619,84,52,0.41025641,78,32,0.208791209,0.208791209
1978,PHI,0.658536585,82,54,0.45,80,36,0.208536585,0.208536585
1914,IND,0.6625,80,53,0.454545455,77,35,0.207954545,0.207954545
1950,BOS,0.714285714,77,55,0.506493506,77,39,0.207792208,0.207792208
1954,CHC,0.519480519,77,40,0.311688312,77,24,0.207792208,0.207792208
1944,WSH,0.519480519,77,40,0.311688312,77,24,0.207792208,0.207792208
1932,CHC,0.688311688,77,53,0.480519481,77,37,0.207792208,0.207792208
1924,BOS,0.532467532,77,41,0.325,80,26,0.207467532,0.207467532
1887,CHC,0.656716418,67,44,0.45,60,27,0.206716418,0.206716418
2019,TEX,0.603448276,58,35,0.396825397,63,25,0.206622879,0.206622879
1886,CIN,0.563380282,71,40,0.357142857,70,25,0.206237425,0.206237425
1903,WSH,0.408450704,71,29,0.202898551,69,14,0.205552154,0.205552154
1914,CHC,0.605263158,76,46,0.4,80,32,0.205263158,0.205263158
1978,CLE,0.538461538,78,42,0.333333333,81,27,0.205128205,0.205128205
1961,CHC,0.512820513,78,40,0.307692308,78,24,0.205128205,0.205128205
1896,LOU,0.390625,64,25,0.185714286,70,13,0.204910714,0.204910714
1997,MIL,0.5875,80,47,0.382716049,81,31,0.204783951,0.204783951
1883,PRO,0.693877551,49,34,0.489795918,49,24,0.204081633,0.204081633
1883,NYG,0.571428571,49,28,0.367346939,49,18,0.204081633,0.204081633
1873,BAL,0.703703704,27,19,0.5,30,15,0.203703704,0.203703704
1993,MON,0.679012346,81,55,0.475609756,82,39,0.20340259,0.20340259
1994,PHI,0.566666667,60,34,0.363636364,55,20,0.203030303,0.203030303
1943,SLB,0.571428571,77,44,0.368421053,76,28,0.203007519,0.203007519
1919,STL,0.492753623,69,34,0.289855072,69,20,0.202898551,0.202898551
2009,DET,0.62962963,81,51,0.426829268,82,35,0.202800361,0.202800361
1913,CHC,0.671052632,76,51,0.46835443,79,37,0.202698201,0.202698201
1895,CHC,0.641791045,67,43,0.439393939,66,29,0.202397105,0.202397105
1888,BAL,0.535714286,56,30,0.333333333,81,27,0.202380952,0.202380952
1889,CIN,0.635135135,74,47,0.432835821,67,29,0.202299314,0.202299314
1881,TRO,0.558139535,43,24,0.357142857,42,15,0.200996678,0.200996678
1939,CHW,0.649350649,77,50,0.448717949,78,35,0.200632701,0.200632701
1901,BLA,0.606060606,66,40,0.405797101,69,28,0.200263505,0.200263505
1896,BRO,0.538461538,65,35,0.338235294,68,23,0.200226244,0.200226244
1891,CKK,0.533333333,45,24,0.333333333,57,19,0.2,0.2
1890,PHA,0.5,72,36,0.3,60,18,0.2,0.2
1912,CIN,0.584415584,77,45,0.384615385,78,30,0.1998002,0.1998002
1961,STL,0.615384615,78,48,0.415584416,77,32,0.1998002,0.1998002
1926,CHC,0.628205128,78,49,0.428571429,77,33,0.1996337,0.1996337
1882,BSN,0.627906977,43,27,0.428571429,42,18,0.199335548,0.199335548
1880,WOR,0.571428571,42,24,0.372093023,43,16,0.199335548,0.199335548
1986,OAK,0.56626506,83,47,0.367088608,79,29,0.199176453,0.199176453
1930,PHA,0.763157895,76,58,0.564102564,78,44,0.199055331,0.199055331
1900,STL,0.555555556,72,40,0.357142857,70,25,0.198412698,0.198412698
1898,WHS,0.425,80,34,0.226666667,75,17,0.198333333,0.198333333
1951,BOS,0.666666667,75,50,0.46835443,79,37,0.198312236,0.198312236
1888,IND,0.46969697,66,31,0.271428571,70,19,0.198268398,0.198268398
1890,COL,0.661971831,71,47,0.463768116,69,32,0.198203715,0.198203715
1914,BTT,0.5875,80,47,0.38961039,77,30,0.19788961,0.19788961
1915,BSN,0.628205128,78,49,0.430379747,79,34,0.197825381,0.197825381
2015,BAL,0.602564103,78,47,0.404761905,84,34,0.197802198,0.197802198
1886,BAL,0.447761194,67,30,0.25,72,18,0.197761194,0.197761194
1979,MON,0.691358025,81,56,0.493670886,79,39,0.197687139,0.197687139
2009,SFG,0.641975309,81,52,0.444444444,81,36,0.197530864,0.197530864
1974,PIT,0.641975309,81,52,0.444444444,81,36,0.197530864,0.197530864
2013,COL,0.555555556,81,45,0.358024691,81,29,0.197530864,0.197530864
